ProblemName,Seed,T_Default,T_VIA,T_VILCP,T_Achterberg2013,T_VILCP',T_All,N_Default,N_VIA,N_VILCP,N_Achterberg2013,N_VILCP',N_All,T_presolve_VIA,T_presolve_VILCP,Rows_Default,Rows_VIA,Rows_VILCP,Rows_Achterberg2013,Rows_VILCP',Rows_All,Cols_Default,Cols_VIA,Cols_VILCP,Cols_Achterberg2013,Cols_VILCP',Cols_All,Nnz_Default,Nnz_VIA,Nnz_VILCP,Nnz_Achterberg2013,Nnz_VILCP',Nnz_All
30n20b8,1,242.92,246.77,418.13,347.07,223.39,422.69,1858,1858,3342,3469,3922,3342,0.59,0.68,491,491,489,489,489,489,4748,4748,4730,4735,4730,4730,42941,42941,42776,42815,42776,42776
30n20b8,2,320.12,315.04,156.13,624.32,283.30,154.16,1985,1985,1372,8783,3013,1372,0.33,0.80,491,491,489,489,489,489,4736,4736,4700,4711,4700,4700,42839,42839,42483,42577,42483,42483
30n20b8,3,1222.02,1203.27,282.34,197.69,337.79,284.25,9884,9884,2582,2117,3379,2582,0.28,0.62,490,490,488,488,488,488,4761,4761,4744,4746,4744,4744,43049,43049,42891,42906,42891,42891
30n20b8,4,472.53,474.20,171.30,134.89,198.02,169.89,2846,2846,1268,1994,1667,1268,0.28,0.86,490,490,488,488,488,488,4741,4741,4695,4717,4695,4695,42892,42892,42472,42673,42472,42472
30n20b8,5,1416.80,1407.20,338.52,124.61,337.12,344.92,8895,8895,3151,1851,2865,3151,1.10,0.67,491,491,489,489,489,489,4762,4762,4736,4745,4736,4736,43098,43098,42852,42930,42852,42852
50v-10,1,7200.01,7200.05,7200.01,7200.01,7200.03,7200.04,292212,291170,293068,291604,293257,294289,0.01,0.75,233,233,233,233,233,233,2013,2013,2013,2013,2013,2013,2745,2745,2745,2745,2745,2745
50v-10,2,7200.01,7200.04,7200.01,7200.00,7200.02,7200.01,258479,263951,295602,295306,300028,299750,0.02,1.36,233,233,233,233,233,233,2013,2013,2013,2013,2013,2013,2745,2745,2745,2745,2745,2745
50v-10,3,7200.05,7200.00,7200.00,7200.00,7200.00,7200.01,305314,304452,300508,302790,303427,305312,0.02,0.89,233,233,233,233,233,233,2013,2013,2013,2013,2013,2013,2745,2745,2745,2745,2745,2745
50v-10,4,7200.00,7200.04,7200.00,7200.04,7200.02,7200.01,300920,296116,301859,295300,299243,298792,0.03,1.18,233,233,233,233,233,233,2013,2013,2013,2013,2013,2013,2745,2745,2745,2745,2745,2745
50v-10,5,7200.01,7200.00,7200.03,7200.04,7200.03,7200.01,353365,354179,347806,353127,350007,351908,0.02,0.79,233,233,233,233,233,233,2013,2013,2013,2013,2013,2013,2745,2745,2745,2745,2745,2745
